Background Color Format,Category,Color,Font Color Format,Product,ProductKey,Standard Cost,Subcategory
#FF0000,Bikes,Red,#FFFFFF,"Road-250 Red, 48",369,$1518.79,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-250 Red, 52",370,$1518.79,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-250 Red, 58",371,$1320.68,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-250 Red, 58",372,$1554.95,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-450 Red, 44",317,$884.71,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-450 Red, 48",318,$884.71,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-450 Red, 52",319,$884.71,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-450 Red, 58",315,$884.71,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-450 Red, 60",316,$884.71,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-650 Red, 44",326,$413.15,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-650 Red, 44",327,$486.71,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-650 Red, 48",328,$413.15,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-650 Red, 48",329,$486.71,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-650 Red, 52",330,$413.15,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-650 Red, 52",331,$486.71,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-650 Red, 58",320,$413.15,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-650 Red, 58",321,$486.71,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-650 Red, 60",322,$413.15,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-650 Red, 60",323,$486.71,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-650 Red, 62",324,$413.15,Road Bikes
#FF0000,Bikes,Red,#FFFFFF,"Road-650 Red, 62",325,$486.71,Road Bikes
#FF0000,Components,Red,#FFFFFF,"HL Road Frame - Red, 44",241,$747.97,Road Frames
#FF0000,Components,Red,#FFFFFF,"HL Road Frame - Red, 44",242,$722.26,Road Frames
#FF0000,Components,Red,#FFFFFF,"HL Road Frame - Red, 44",243,$868.63,Road Frames
#FF0000,Components,Red,#FFFFFF,"HL Road Frame - Red, 48",244,$747.97,Road Frames
#FF0000,Components,Red,#FFFFFF,"HL Road Frame - Red, 48",245,$722.26,Road Frames
#FF0000,Components,Red,#FFFFFF,"HL Road Frame - Red, 48",246,$868.63,Road Frames
#FF0000,Components,Red,#FFFFFF,"HL Road Frame - Red, 52",247,$747.97,Road Frames
#FF0000,Components,Red,#FFFFFF,"HL Road Frame - Red, 52",248,$722.26,Road Frames
#FF0000,Components,Red,#FFFFFF,"HL Road Frame - Red, 52",249,$868.63,Road Frames
#FF0000,Components,Red,#FFFFFF,"HL Road Frame - Red, 56",250,$747.97,Road Frames
#FF0000,Components,Red,#FFFFFF,"HL Road Frame - Red, 56",251,$722.26,Road Frames
#FF0000,Components,Red,#FFFFFF,"HL Road Frame - Red, 56",252,$868.63,Road Frames
#FF0000,Components,Red,#FFFFFF,"HL Road Frame - Red, 58",211,$868.63,Road Frames
#FF0000,Components,Red,#FFFFFF,"HL Road Frame - Red, 62",238,$747.97,Road Frames
#FF0000,Components,Red,#FFFFFF,"HL Road Frame - Red, 62",239,$722.26,Road Frames
#FF0000,Components,Red,#FFFFFF,"HL Road Frame - Red, 62",240,$868.63,Road Frames
#FF0000,Components,Red,#FFFFFF,"LL Road Frame - Red, 44",262,$181.49,Road Frames
#FF0000,Components,Red,#FFFFFF,"LL Road Frame - Red, 44",263,$187.16,Road Frames
#FF0000,Components,Red,#FFFFFF,"LL Road Frame - Red, 48",264,$181.49,Road Frames
#FF0000,Components,Red,#FFFFFF,"LL Road Frame - Red, 48",265,$187.16,Road Frames
#FF0000,Components,Red,#FFFFFF,"LL Road Frame - Red, 52",266,$181.49,Road Frames
#FF0000,Components,Red,#FFFFFF,"LL Road Frame - Red, 52",267,$187.16,Road Frames
#FF0000,Components,Red,#FFFFFF,"LL Road Frame - Red, 58",268,$181.49,Road Frames
#FF0000,Components,Red,#FFFFFF,"LL Road Frame - Red, 58",269,$187.16,Road Frames
#FF0000,Components,Red,#FFFFFF,"LL Road Frame - Red, 60",270,$181.49,Road Frames
#FF0000,Components,Red,#FFFFFF,"LL Road Frame - Red, 60",271,$187.16,Road Frames
#FF0000,Components,Red,#FFFFFF,"LL Road Frame - Red, 62",272,$181.49,Road Frames
#FF0000,Components,Red,#FFFFFF,"LL Road Frame - Red, 62",273,$187.16,Road Frames
#FF0000,Components,Red,#FFFFFF,"ML Road Frame - Red, 44",274,$352.14,Road Frames
#FF0000,Components,Red,#FFFFFF,"ML Road Frame - Red, 48",275,$352.14,Road Frames
#FF0000,Components,Red,#FFFFFF,"ML Road Frame - Red, 52",276,$352.14,Road Frames
#FF0000,Components,Red,#FFFFFF,"ML Road Frame - Red, 58",277,$352.14,Road Frames
#FF0000,Components,Red,#FFFFFF,"ML Road Frame - Red, 60",278,$352.14,Road Frames
#FFFF00,Bikes,Yellow,#000000,"Road-350-W Yellow, 40",580,$1082.51,Road Bikes
#FFFF00,Bikes,Yellow,#000000,"Road-350-W Yellow, 42",581,$1082.51,Road Bikes
#FFFF00,Bikes,Yellow,#000000,"Road-350-W Yellow, 44",582,$1082.51,Road Bikes
#FFFF00,Bikes,Yellow,#000000,"Road-350-W Yellow, 48",583,$1082.51,Road Bikes
#FFFF00,Bikes,Yellow,#000000,"Road-550-W Yellow, 38",381,$605.65,Road Bikes
#FFFF00,Bikes,Yellow,#000000,"Road-550-W Yellow, 38",382,$713.08,Road Bikes
#FFFF00,Bikes,Yellow,#000000,"Road-550-W Yellow, 40",383,$605.65,Road Bikes
#FFFF00,Bikes,Yellow,#000000,"Road-550-W Yellow, 40",384,$713.08,Road Bikes
#FFFF00,Bikes,Yellow,#000000,"Road-550-W Yellow, 42",385,$605.65,Road Bikes
#FFFF00,Bikes,Yellow,#000000,"Road-550-W Yellow, 42",386,$713.08,Road Bikes
#FFFF00,Bikes,Yellow,#000000,"Road-550-W Yellow, 44",387,$605.65,Road Bikes
#FFFF00,Bikes,Yellow,#000000,"Road-550-W Yellow, 44",388,$713.08,Road Bikes
#FFFF00,Bikes,Yellow,#000000,"Road-550-W Yellow, 48",389,$605.65,Road Bikes
#FFFF00,Bikes,Yellow,#000000,"Road-550-W Yellow, 48",390,$713.08,Road Bikes
#FFFF00,Bikes,Yellow,#000000,"Touring-1000 Yellow, 46",561,$1481.94,Touring Bikes
#FFFF00,Bikes,Yellow,#000000,"Touring-1000 Yellow, 50",562,$1481.94,Touring Bikes
#FFFF00,Bikes,Yellow,#000000,"Touring-1000 Yellow, 54",563,$1481.94,Touring Bikes
#FFFF00,Bikes,Yellow,#000000,"Touring-1000 Yellow, 60",564,$1481.94,Touring Bikes
#FFFF00,Bikes,Yellow,#000000,"Touring-3000 Yellow, 44",568,$461.44,Touring Bikes
#FFFF00,Bikes,Yellow,#000000,"Touring-3000 Yellow, 50",569,$461.44,Touring Bikes
#FFFF00,Bikes,Yellow,#000000,"Touring-3000 Yellow, 54",570,$461.44,Touring Bikes
#FFFF00,Bikes,Yellow,#000000,"Touring-3000 Yellow, 58",571,$461.44,Touring Bikes
#FFFF00,Bikes,Yellow,#000000,"Touring-3000 Yellow, 62",572,$461.44,Touring Bikes
#FFFF00,Clothing,Yellow,#000000,"Short-Sleeve Classic Jersey, L",490,$41.57,Jerseys
#FFFF00,Clothing,Yellow,#000000,"Short-Sleeve Classic Jersey, M",489,$41.57,Jerseys
#FFFF00,Clothing,Yellow,#000000,"Short-Sleeve Classic Jersey, S",488,$41.57,Jerseys
#FFFF00,Clothing,Yellow,#000000,"Short-Sleeve Classic Jersey, XL",491,$41.57,Jerseys
#FFFF00,Components,Yellow,#000000,"HL Touring Frame - Yellow, 46",494,$601.74,Touring Frames
#FFFF00,Components,Yellow,#000000,"HL Touring Frame - Yellow, 50",495,$601.74,Touring Frames
#FFFF00,Components,Yellow,#000000,"HL Touring Frame - Yellow, 54",496,$601.74,Touring Frames
#FFFF00,Components,Yellow,#000000,"HL Touring Frame - Yellow, 60",492,$601.74,Touring Frames
#FFFF00,Components,Yellow,#000000,"LL Touring Frame - Yellow, 44",506,$199.85,Touring Frames
#FFFF00,Components,Yellow,#000000,"LL Touring Frame - Yellow, 50",507,$199.85,Touring Frames
#FFFF00,Components,Yellow,#000000,"LL Touring Frame - Yellow, 54",508,$199.85,Touring Frames
#FFFF00,Components,Yellow,#000000,"LL Touring Frame - Yellow, 58",509,$199.85,Touring Frames
#FFFF00,Components,Yellow,#000000,"LL Touring Frame - Yellow, 62",493,$199.85,Touring Frames
#FFFF00,Components,Yellow,#000000,"ML Road Frame-W - Yellow, 38",417,$300.12,Road Frames
#FFFF00,Components,Yellow,#000000,"ML Road Frame-W - Yellow, 38",418,$360.94,Road Frames
#FFFF00,Components,Yellow,#000000,"ML Road Frame-W - Yellow, 40",429,$300.12,Road Frames
#FFFF00,Components,Yellow,#000000,"ML Road Frame-W - Yellow, 40",430,$360.94,Road Frames
#FFFF00,Components,Yellow,#000000,"ML Road Frame-W - Yellow, 42",431,$300.12,Road Frames
#FFFF00,Components,Yellow,#000000,"ML Road Frame-W - Yellow, 42",432,$360.94,Road Frames
#FFFF00,Components,Yellow,#000000,"ML Road Frame-W - Yellow, 44",433,$300.12,Road Frames
#FFFF00,Components,Yellow,#000000,"ML Road Frame-W - Yellow, 44",434,$360.94,Road Frames
#FFFF00,Components,Yellow,#000000,"ML Road Frame-W - Yellow, 48",435,$300.12,Road Frames
#FFFF00,Components,Yellow,#000000,"ML Road Frame-W - Yellow, 48",436,$360.94,Road Frames
#FFFFFF,Clothing,White,#000000,"Mountain Bike Socks, L",219,$3.4,Socks
#FFFFFF,Clothing,White,#000000,"Mountain Bike Socks, M",218,$3.4,Socks
#FFFFFF,Clothing,White,#000000,"Racing Socks, L",482,$3.36,Socks
#FFFFFF,Clothing,White,#000000,"Racing Socks, M",481,$3.36,Socks
